in:SolutionNr,in:6_floor,in:12_floor,in:25_floor,in:concrete,in:grass,in:sand,in:water,out:no_voids,out:NE,out:NW,out:SW,out:SE,out:Δ_temp,out:sunlight,out:sky_exposure,out: linked,img
0,0.5,0.6,0.7,0.3,0.4,0.4,0.6,51,14,17,11,9,6.1,7.7,1.8,100,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00000.webp
1,0.5,0.5,0.5,0.5,0.7,0.2,0.6,51,16,16,11,8,6.4,8.4,2.8,91,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00001.webp
2,0.4,0.3,0.4,0.6,0.6,0.2,0.5,51,13,15,11,12,7.6,8.3,2.7,54,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00002.webp
3,0.4,0.5,0.5,0.6,0.6,0.2,0.5,51,12,17,7,15,5.9,8.3,2.1,74,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00003.webp
4,0.4,0.3,0.5,0.5,0.7,0.2,0.5,51,12,14,12,13,6.3,8.3,2.7,49,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00004.webp
5,0.4,0.5,0.6,0.7,0.4,0.4,0.3,51,11,16,11,13,5.2,7.3,2.8,91,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00005.webp
6,0.4,0.3,0.4,0.6,0.6,0.2,0.5,51,13,15,11,12,7.6,8.3,2.7,54,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00006.webp
7,0.5,0.4,0.6,0.3,0.4,0.3,0.4,26,6,9,7,4,3.7,6.3,1.9,75,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00007.webp
8,0.6,0.6,0.4,0.6,0.6,0.2,0.5,51,11,16,13,11,7.5,9.1,2.1,64,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00008.webp
9,0.7,0.7,0.4,0.6,0.2,0.3,0.4,51,12,14,14,11,9.4,8.6,1.7,91,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00009.webp
